26.07.2016	13:30:00
h	°C	1	2	3	4
6,08342	26,2	6,19141	7,32422	7,68555	6,91406
6,08620	26,2	6,16211	7,30469	7,67578	6,89453
6,08898	26,1	6,14746	7,29492	7,67090	6,88477
6,09176	26,1	6,12305	7,29492	7,67578	6,87500
6,09454	26,1	6,08887	7,29004	7,66602	6,87500
6,09732	26,1	6,06934	7,28516	7,66602	6,87012
6,10010	26,1	6,04980	7,28516	7,66602	6,87500
6,10288	26,1	6,01563	7,27539	7,65625	6,87012
6,10566	26,0	6,01563	7,27539	7,64648	6,85547
6,10844	26,0	5,98633	7,27539	7,64648	6,87012
6,11122	26,0	5,97168	7,27539	7,64160	6,85547
6,11400	26,0	5,94727	7,26074	7,64648	6,85059
6,11678	26,0	5,92773	7,26074	7,64648	6,84570
6,11956	26,0	5,92285	7,26563	7,63672	6,84570
6,12234	25,9	5,89844	7,26563	7,64648	6,85547
6,12512	25,9	5,88379	7,26074	7,63672	6,85547
6,12790	25,9	5,87891	7,26563	7,63672	6,85059
6,13068	25,9	5,85938	7,27051	7,62695	6,84082
6,13346	25,9	5,83984	7,27539	7,63184	6,83594
6,13624	25,9	5,83008	7,27539	7,62695	6,83594
6,13902	25,9	5,83008	7,27539	7,63184	6,84570
6,14180	25,8	5,82520	7,27539	7,63184	6,83594
6,14458	25,8	5,81543	7,28027	7,62695	6,83594
6,14736	25,8	5,81055	7,28027	7,63184	6,84570
6,15014	25,8	5,79102	7,28516	7,62695	6,84570
6,15292	25,8	5,78613	7,29004	7,62695	6,85059
6,15570	25,8	5,77148	7,29492	7,61719	6,85059
6,15848	25,8	5,77148	7,29980	7,61719	6,85547
6,16126	25,7	5,76172	7,30469	7,61719	6,86035
6,16404	25,8	5,76172	7,31445	7,62695	6,85547
7,00003	27,0	7,22656	7,74414	8,00293	7,49023
7,00281	27,0	7,18750	7,71484	7,97363	7,46094
7,00559	27,0	7,17773	7,70996	7,97363	7,44141
7,00836	27,0	7,15820	7,70508	7,97363	7,42188
7,01114	26,9	7,11914	7,70020	7,95898	7,38281
7,01392	26,9	7,04590	7,65625	7,92969	7,29492
7,01670	26,9	6,97266	7,61719	7,91504	7,24609
7,01948	26,9	6,91895	7,59766	7,91016	7,22656
7,02226	26,8	6,87988	7,58301	7,90039	7,21191
7,02504	26,8	6,85059	7,57324	7,89063	7,19727
7,02782	26,8	6,82129	7,55859	7,88086	7,19238
7,03060	26,8	6,78711	7,53906	7,87109	7,16797
7,03338	26,7	6,75781	7,52930	7,86621	7,16797
7,03616	26,7	6,73828	7,51953	7,85156	7,15820
7,03894	26,7	6,69434	7,50977	7,85156	7,14844
7,04172	26,6	6,68945	7,50000	7,83203	7,13867
7,04450	26,6	6,65527	7,48047	7,83203	7,12402
7,04728	26,6	6,64063	7,47070	7,81738	7,11914
7,05006	26,6	6,61621	7,46094	7,80273	7,10449
7,05284	26,5	6,58203	7,45117	7,78809	7,09473
7,05562	26,5	6,56250	7,44141	7,78809	7,07031
7,05840	26,5	6,53809	7,43652	7,78320	7,06543
7,06118	26,5	6,51367	7,43164	7,77832	7,05078
7,06396	26,5	6,49414	7,42676	7,77344	7,04102
7,06674	26,4	6,46484	7,40723	7,76855	7,04102
7,06952	26,4	6,44531	7,40234	7,75879	7,02148
7,07230	26,4	6,42090	7,39258	7,75879	7,02148
7,07508	26,4	6,38672	7,37305	7,73926	6,99707
7,07786	26,4	6,36230	7,36816	7,72949	6,99219
7,08064	26,3	6,34277	7,35840	7,73438	6,98730
7,08342	26,3	6,31348	7,35352	7,72461	6,97266
7,08620	26,3	6,28906	7,34375	7,72461	6,95801
7,08898	26,3	6,26465	7,34375	7,72461	6,95313
7,09176	26,2	6,24512	7,33398	7,71973	6,93359
7,09453	26,2	6,23047	7,31934	7,70996	6,93359
7,09731	26,2	6,21094	7,32422	7,71484	6,93359
7,10009	26,2	6,19141	7,31934	7,70020	6,93359
7,10287	26,2	6,17676	7,31934	7,69531	6,93359
7,10565	26,2	6,16211	7,31445	7,69043	6,92383
7,10843	26,2	6,14746	7,31445	7,69043	6,92383
7,11121	26,1	6,12305	7,30469	7,69531	6,92383
7,11398	26,1	6,10840	7,29492	7,67578	6,91895
7,11676	26,1	6,09375	7,29980	7,67090	6,90918
7,11954	26,1	6,08887	7,29492	7,66602	6,89453
7,12232	26,1	6,08398	7,28516	7,67578	6,90430
7,12510	26,1	6,06934	7,28516	7,66602	6,90918
7,12788	26,0	6,06934	7,29492	7,66602	6,90430
7,13066	26,0	6,05957	7,29492	7,66602	6,89453
7,13344	26,0	6,05469	7,29492	7,66602	6,90918
7,13622	26,0	6,04004	7,29004	7,65625	6,89453
7,13900	26,0	6,03516	7,29004	7,65625	6,89941
7,14178	26,0	6,02539	7,29980	7,66602	6,90430
7,14456	26,0	6,02051	7,29980	7,66602	6,90430
7,14734	26,0	6,00586	7,30469	7,67090	6,90918
7,15012	26,0	5,99609	7,30957	7,66602	6,91406
7,15290	26,0	5,99121	7,30957	7,67090	6,91406
